Nº,Description,File_Location,STRIDE_Category,Abuse_Case,Dark_Corner,D_Score,D_Justification,R_Score,R_Justification,E_Score,E_Justification,A_Score,A_Justification,D_Score_2,D_Justification_2,DREAD_Total,Owner,Jira_Ticket,ETA,Comments
1,"Herramienta MCP 'delegate' sin control de acceso — cualquier agente puede auto-escalar su nivel de confianza invocando delegate para auto-aprobar herramientas restringidas","colmena-mcp/src/main.rs:L151-180","Elevation of Privilege (E)","Un agente malicioso o comprometido invoca el tool MCP 'delegate' con tool='Bash' y permanent=true. Esto crea una delegación permanente que auto-aprueba TODOS los comandos Bash (excepto blocked). El agente ahora ejecuta rm -r, curl, docker sin revisión humana.","Si un agente auto-escala trust y luego spawna sub-agentes (Agent está auto-aprobado), cada sub-agente hereda las delegaciones. En minutos se puede construir una cadena de agentes autónomos con trust total sobre el sistema, sin intervención humana. La delegación permanente persiste entre sesiones.",9,"Auto-aprobación de Bash permite ejecución de comandos destructivos, exfiltración de datos y compromiso total del sistema",10,"Cualquier invocación al tool MCP delegate funciona consistentemente",9,"Trivial: basta invocar el tool MCP nativo. No requiere exploits ni herramientas externas",10,"Afecta a todos los agentes y sesiones — delegación es global",9,"El tool MCP es listable via tool listing estándar de Claude Code",9.4,"Security Team",,,"Implementar ACL en delegate: requerir confirmación humana explícita. Nunca permitir auto-delegación por agentes."
2,"Delegaciones permanentes sin re-autenticación ni confirmación — el flag --permanent crea trust infinito sin expiración","colmena-cli/src/main.rs:L248-252; colmena-mcp/src/main.rs:L156-159","Elevation of Privilege (E)","Un usuario ejecuta 'colmena delegate --tool Bash --permanent' durante una sesión de debugging. La delegación nunca expira y persiste en runtime-delegations.json indefinidamente. Meses después, un agente ejecuta comandos destructivos sin revisión porque la delegación permanente sigue activa.","La delegación permanente sobrevive reinicios, nuevas sesiones y cambios de contexto. Si el archivo runtime-delegations.json se incluye en un backup o se sincroniza entre máquinas, la delegación se propaga. No existe mecanismo de revocación automatizada ni alertas de delegaciones activas.",8,"Trust permanente para cualquier herramienta permite bypass completo de reglas restricted",10,"El flag --permanent funciona consistentemente",8,"Requiere acceso al CLI delegate (disponible para usuario y via MCP)",10,"Afecta todos los agentes y sesiones futuras",8,"Flag documentado pero consecuencias no evidentes para el usuario",8.8,"Security Team",,,"Eliminar opción permanent o requerir TTL máximo configurable. Agregar comando 'delegate list' y 'delegate revoke'."
3,"Agent spawning auto-aprobado sin restricciones — permite cadenas de agentes autónomos sin límite","config/trust-firewall.yaml:L70-72","Elevation of Privilege (E)","Un agente auto-aprobado spawna un sub-agente que hereda las reglas de trust. Este sub-agente spawna otro, y así sucesivamente. Cada agente opera de forma autónoma dentro del trust_circle. Con 10+ agentes activos, el consumo de tokens y recursos es masivo.","Si se combina con una delegación permanente de Bash (amenaza #1), cada agente en la cadena tiene auto-aprobación total. Un solo agente comprometido puede crear un enjambre de agentes con privilegios elevados que operan sin supervisión humana.",8,"Cadenas de agentes ilimitadas consumen recursos masivos y operan sin control humano",10,"Agent spawning siempre auto-aprobado por trust_circle",9,"Cualquier agente puede invocar Agent tool",8,"Impacto sistémico: tokens, CPU, operaciones I/O",9,"Regla visible en trust-firewall.yaml",8.8,"Security Team",,,"Agregar rate-limiting a Agent spawning. Limitar profundidad de cadena de agentes. Considerar require 'ask' para Agent."
4,"Acciones auto-aprobadas sin registro de auditoría — operaciones auto-approve no dejan rastro","colmena-cli/src/main.rs:L176","Repudiation (R)","Un agente lee archivos sensibles (Read auto-aprobado), navega el filesystem completo (Glob/Grep auto-aprobado), y ejecuta comandos read-only que revelan información del sistema. Ninguna de estas acciones queda registrada. El usuario nunca sabe qué archivos fueron leídos ni qué información fue extraída.","En un escenario de incident response, es imposible determinar qué datos fueron accedidos por agentes auto-aprobados. Sin audit trail, no se puede evaluar el alcance de un compromiso. Violaciones de compliance (PCI-DSS, SOC2) por falta de logging de accesos a datos.",7,"Sin auditoría de operaciones auto-aprobadas, imposible realizar incident response ni compliance",10,"100% de operaciones auto-approve carecen de registro",10,"No requiere acción del atacante — es comportamiento por defecto del sistema",10,"Todas las operaciones auto-aprobadas (mayoría del tráfico) sin rastro",7,"Requiere entender el flujo de enqueue_pending para descubrir la ausencia",8.8,"Security Team",,,"Implementar audit log para TODAS las decisiones (approve/ask/block). Formato append-only con timestamps y hashes."
5,"Delegaciones sin registro de auditoría — adición y uso de delegaciones no se registra","colmena-core/src/delegate.rs:L44-58","Repudiation (R)","Un usuario o agente crea una delegación via CLI o MCP. La delegación se almacena en runtime-delegations.json pero no queda registro de quién la creó, cuándo, ni por qué. Si la delegación se usa para auto-aprobar operaciones destructivas, no hay trail de la cadena de escalación.","Si un atacante obtiene acceso temporal al sistema y crea delegaciones permanentes, estas sobreviven al cierre de sesión. Sin log de creación, no hay forma de identificar delegaciones ilegítimas durante una auditoría. El campo session_id existe pero nunca se usa para validación.",7,"Trust escalation sin trazabilidad permite bypass persistente sin detección",10,"Toda creación de delegación carece de auditoría",9,"Delegate disponible via CLI y MCP sin restricciones",7,"Todas las delegaciones creadas",7,"Análisis del código delegate.rs revela ausencia de logging",8.0,"Security Team",,,"Log inmutable de toda operación de delegación: creación, uso, expiración. Incluir session_id, user, timestamp, motivo."
6,"settings.json sin protección de integridad — sustitución del comando hook permite bypass total","colmena-cli/src/install.rs:L91","Tampering (T)","Un atacante con acceso local a ~/.claude/settings.json modifica el hook command para apuntar a un binario malicioso que siempre responde 'allow'. Todas las operaciones de Claude Code se auto-aprueban sin pasar por el firewall real de Colmena.","Si el atacante reemplaza el binario hook por un script que loguea todos los tool_input antes de responder 'allow', obtiene visibilidad completa sobre todas las operaciones de CC (espionaje) además de bypass de seguridad. El ataque persiste entre sesiones.",9,"Bypass completo del firewall de trust: todas las operaciones se auto-aprueban",8,"Requiere escritura en HOME dir pero el archivo no tiene protección adicional",5,"Requiere acceso local al filesystem del usuario",10,"Todas las evaluaciones de hook comprometidas",7,"~/.claude/settings.json es path conocido y documentado",7.8,"Security Team",,,"Verificar integridad del binario hook al inicio. Checksum del binario en settings.json. Alerta si hook command cambia."
7,"session_id de delegaciones no se valida — delegaciones filtran entre sesiones","colmena-core/src/firewall.rs:L76-95; colmena-core/src/delegate.rs:L17","Spoofing (S)","Un usuario crea una delegación temporal para una sesión de debugging. La delegación queda en runtime-delegations.json y es accesible por CUALQUIER sesión posterior o concurrente. Un agente en otra sesión se beneficia de la delegación sin que el usuario lo sepa.","El campo session_id existe en RuntimeDelegation (L17) pero check_delegations (firewall.rs:L76-95) nunca lo valida. Esto significa que delegaciones creadas para un contexto específico aplican globalmente. En equipos con múltiples sesiones CC concurrentes, las delegaciones se filtran entre workflows no relacionados.",8,"Delegaciones de una sesión aplican a todas: trust escalation involuntaria",9,"Siempre funciona si delegación existe",7,"Requiere entender que delegaciones son cross-session",8,"Afecta todas las sesiones concurrentes y futuras",6,"Requiere análisis de código para descubrir que session_id no se enforce",7.6,"Backend Team",,,"Implementar filtrado por session_id en check_delegations. Delegaciones deben ser scoped a la sesión que las creó."
8,"stdin del hook sin límite de tamaño — payload grande causa OOM y bloquea evaluación","colmena-cli/src/main.rs:L144-147","Denial of Service (D)","Un payload JSON malformado o extremadamente grande (>100MB) es enviado al hook via stdin. read_to_string() intenta cargar todo en memoria, causando OOM kill del proceso. Mientras el hook está bloqueado, CC no puede evaluar ninguna operación.","Si CC genera payloads con tool_input muy grande (ej: contenido de archivo completo en Write), el hook puede ser consistentemente lento o fallar. En el mejor caso, la latencia del hook supera el target de 100ms. En el peor caso, el proceso se mata por OOM y CC queda sin firewall activo.",7,"Hook OOM causa que CC opere sin firewall de trust",9,"Payload grande consistentemente causa el problema",7,"Requiere enviar JSON grande via stdin (factible si se controla tool_input)",8,"Todas las evaluaciones bloqueadas mientras hook está caído",7,"Pattern read_to_string() sin límite es conocido",7.6,"Backend Team",,,"Implementar límite de lectura (ej: 10MB). Usar BufReader con límite. Timeout configurable para el hook."
9,"Ausencia de mecanismo de revocación de delegaciones — delegaciones comprometidas persisten","colmena-core/src/delegate.rs:L22-41","Elevation of Privilege (E)","Un usuario descubre que una delegación permanente fue creada erróneamente o por un agente malicioso. No existe comando 'delegate revoke' ni 'delegate list'. La única opción es editar manualmente runtime-delegations.json, lo cual requiere conocimiento del formato interno.","En un incidente de seguridad, la incapacidad de revocar delegaciones rápidamente extiende la ventana de exposición. Si el archivo JSON se corrompe durante edición manual, load_delegations() retorna vec vacío (L25-30), eliminando TODAS las delegaciones legítimas también.",7,"No se pueden revocar delegaciones comprometidas de forma programática",10,"No existe comando de revocación en CLI ni MCP",7,"Requiere edición manual de JSON (propenso a errores)",7,"Todas las delegaciones activas del tool afectado",7,"Feature gap descubrible al buscar 'revoke' o 'delete' en CLI help",7.6,"Backend Team",,,"Implementar 'colmena delegate list' y 'colmena delegate revoke --tool X'. Agregar tool MCP equivalente."
10,"Queue de aprobación sin pruning — acumulación indefinida de archivos causa exhaustión de disco","colmena-core/src/queue.rs:L25-58","Denial of Service (D)","Cada decisión 'Ask' genera un archivo JSON en config/queue/pending/. En sesiones intensivas con muchas herramientas restringidas, se generan cientos de archivos por hora. Sin mecanismo de limpieza, el directorio crece indefinidamente.","Con 180+ archivos ya presentes en el directorio actual, la acumulación afecta rendimiento de list_pending() (lee todos los archivos). Si el disco se llena, write() en queue.rs falla y el error se loguea pero se ignora (main.rs:L180-182). CC sigue funcionando pero sin registro de operaciones Ask.",5,"Disco lleno afecta operaciones del sistema y pierde registro de aprobaciones pendientes",9,"Cada Ask crea archivo — comportamiento consistente",6,"Solo requiere generar muchas operaciones Ask (uso normal intenso)",8,"Impacto sistémico cuando disco se llena",8,"Directorio queue/pending/ es visible e inspeccionable",7.2,"Backend Team",,,"Implementar TTL para queue entries. Comando 'colmena queue prune'. Mover entries decididas a queue/decided/."
